#List - Latest @ 2026-07-16 09:41 (UTC-07:00),,,,,
Identifier,Location,Location Folder,Location Type,Value,Status
3BNM010,PARK RILL CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM011,REED CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM012,MCLEAN CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM013,STRUTT CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM014,TURNBULL CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM016,HUTLEY CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM017,DEEP CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM018,MCCUDDY CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM019,BALDY CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM020,INKANEEP CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM021,COSENS CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM023,CARDINAL CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM024,PEARSON CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM025,DARLEY CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM026,DARLEY TRIB 14,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM027,SCHRAM CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM028,BAILLEY CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM029,DENNIS CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM030,JAMES CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM031,ELLIS CREEK NORTH,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM033,HESTER CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM034,JUNE CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM035,SHINGLE CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM040,BREWER CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM041,CRASTER CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM042,SHORT TRIB 5,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM043,SHORT TRIB 6,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM044,SHORT TRIB 7,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM045,SHORT TRIB 23,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM046,LEAN TO CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM047,BELGO CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM048,SHATFORD CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM052,GREATA CREEK TRIB A,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM054,MCGREGOR CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM055,ALLAN CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM056,SILVER CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM057,APEX CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM058,PRATHER CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM059,COTEAY CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM060,DUNWATER CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM061,FOOLHEN CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM063,SHORT TRIB 22,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM064,GREYBACK CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM065,DAVES CREEK AT FORESTRY ROAD U/S HIGHWAY 33,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
